resume_text,job_role
"Built REST APIs in Python and Flask. Deployed services on AWS EC2. Used Docker for containers. PostgreSQL database design.",Software Engineer
"Developed React frontend applications. JavaScript ES6 TypeScript. Node.js backend integration. Agile Scrum team collaboration.",Software Engineer
"Java Spring Boot microservices. Maven Gradle builds. Unit testing with JUnit. CI/CD Jenkins pipelines.",Software Engineer
"Machine learning models in Python scikit-learn pandas. Feature engineering and model evaluation. Jupyter notebooks.",Data Scientist
"SQL queries Tableau dashboards for business insights. Statistical analysis A/B testing. Python data pipelines.",Data Scientist
"Deep learning TensorFlow Keras neural networks. Computer vision projects. GPU training experience.",Data Scientist
"Product roadmap prioritization stakeholder meetings. User stories Jira. Market research competitive analysis.",Product Manager
"Launched mobile app features cross-functional teams. Metrics OKRs. A/B experiments product analytics.",Product Manager
"UX research wireframes Figma prototypes. User testing accessibility. Design systems collaboration with engineering.",UX Designer
"Brand campaigns social media content. Google Analytics SEO. Email marketing copywriting.",Marketing Specialist
"Financial modeling Excel forecasting. Budget variance analysis. SAP reporting month-end close.",Financial Analyst
"Customer support ticketing Zendesk. CRM Salesforce data entry. Phone and email resolution.",Customer Support
"HR recruiting interviews onboarding. ATS Workday policies. Employee engagement programs.",HR Specialist
"Network administration Linux servers. Bash scripting monitoring. Firewall VPN troubleshooting.",DevOps Engineer
"Mobile iOS Swift UIKit. App Store releases. REST API integration Core Data.",Software Engineer
"Data engineering ETL Apache Airflow. Snowflake warehouse. dbt transformations scheduling.",Data Scientist
"QA manual testing test cases Selenium automation. Bug tracking Jira regression suites.",QA Engineer
"Cybersecurity risk assessments penetration testing. SIEM tools incident response policies.",Security Analyst
"Content writing blogs SEO WordPress. Editorial calendar CMS. Proofreading grammar.",Content Writer
"Sales B2B CRM cold outreach demos. Quota achievement pipeline management negotiation.",Sales Representative
